,SYMBOL,LDCP,OPEN,HIGH,LOW,CLOSE,CHANGE,CHANGE (%)_x,VOLUME,MARKET CAP.,PRICE,CHANGE (%)_y,1-YEAR CH. (%) *,PE RATIO (TTM),DIVIDEND YIELD (%),FREE FLOAT,30D VOLUME AVG.
189,FCIBL,8.00,7.37,7.48,7.00,7.15,-0.85,-10.62%,"19,691",464.8M,7.15,-10.62%,-7.02%,12.54,0.00,26.0M,805
190,FCL,24.30,24.45,24.49,24.02,24.15,-0.15,-0.62%,"413,729",15.2B,24.15,-0.62%,-0.62%,4.09,5.00,157.2M,"1,352,411"
191,FCSC,1.68,1.68,1.78,1.68,1.74,0.06,3.57%,"29,226",550.9M,1.74,3.57%,43.80%,0.00,0.00,174.1M,"354,516"
192,FDPL,2.45,2.47,2.49,2.30,2.33,-0.12,-4.90%,"28,056",345.7M,2.33,-4.90%,-9.69%,0.00,0.00,133.6M,"139,063"
193,FECM,10.00,9.51,11.00,9.51,11.00,1.00,10.00%,"26,662",124.7M,11.00,10.00%,101.10%,5.02,0.00,7.9M,"38,214"
194,FECTC,97.54,97.55,98.84,95.00,95.63,-1.91,-1.96%,"19,507",4.8B,95.63,-1.96%,225.49%,7.87,0.00,12.5M,"124,462"
195,FEM,2.95,2.98,2.98,2.98,2.98,0.03,1.02%,799,156.3M,2.98,1.02%,6.43%,0.00,0.00,36.7M,"50,263"
196,FEROZ,308.54,310.03,311.89,307.05,308.34,-0.20,-0.06%,"29,668",13.4B,308.34,-0.06%,37.92%,33.92,0.89,15.2M,"94,419"
197,FEROZ-APR,312.65,315.00,315.00,311.00,312.31,-0.34,-0.11%,"16,500",,,,,,,,
198,FEROZ-MAR,308.68,316.00,316.00,307.50,307.86,-0.82,-0.27%,"91,000",,,,,,,,
199,FFC,374.09,374.00,375.00,368.01,369.76,-4.33,-1.16%,"1,526,604",,,,,,,,
200,FFC-APRB,378.04,377.50,377.50,371.50,373.11,-4.93,-1.30%,"100,000",,,,,,,,
201,FFC-MARB,374.65,373.12,373.12,368.50,369.84,-4.81,-1.28%,"86,000",,,,,,,,
202,FFL,16.07,16.00,16.29,15.86,16.14,0.07,0.44%,"4,631,923",40.7B,16.14,0.44%,76.78%,57.64,0.00,504.0M,"8,365,359"
203,FFL-APR,16.25,16.05,16.46,16.05,16.30,0.05,0.31%,"3,762,500",,,,,,,,
204,FFL-MAR,16.08,16.20,16.28,15.85,16.11,0.03,0.19%,"5,414,000",,,,,,,,
205,FFLM,2.01,2.01,2.10,2.01,2.01,0.00,0.00%,403,53.1M,2.01,0.00%,-19.60%,0.00,0.00,17.2M,"5,474"
206,FHAM,21.00,21.00,21.09,20.51,20.63,-0.37,-1.76%,747,2.3B,20.63,-1.76%,162.80%,2.76,10.91,94.2M,"17,960"
207,FIBLM,2.90,2.79,2.90,2.79,2.90,0.00,0.00%,"1,909",62.9M,2.90,0.00%,-18.54%,6.04,0.00,16.3M,"38,942"
208,FIMM,189.00,170.10,199.96,170.10,189.00,0.00,0.00%,2,567.0M,189.00,0.00%,50.23%,7.90,7.10,600.0K,167
209,FLYNG,27.42,27.50,27.99,27.07,27.80,0.38,1.39%,"481,495",19.3B,27.80,1.39%,309.43%,0.00,0.00,243.2M,"2,614,892"
210,FLYNG-APR,27.70,27.55,28.00,27.50,27.90,0.20,0.72%,"725,000",,,,,,,,
211,FLYNG-MAR,27.43,26.55,27.71,26.50,27.53,0.10,0.36%,"1,107,500",,,,,,,,
212,FML,59.81,59.94,61.79,59.94,59.81,0.00,0.00%,107,23.9B,59.81,0.00%,-28.88%,0.00,0.00,39.9M,"5,503"
213,FNEL,3.39,3.44,3.44,3.34,3.38,-0.01,-0.29%,"161,495",903.4M,3.38,-0.29%,-8.89%,0.00,0.00,187.1M,"529,872"
214,FPJM,3.42,3.26,3.59,3.26,3.42,0.00,0.00%,"23,024",116.3M,3.42,0.00%,95.43%,0.00,0.00,13.6M,"528,681"
215,FPRM,8.61,8.00,8.69,8.00,8.00,-0.61,-7.08%,"1,510",110.3M,8.00,-7.08%,23.08%,4.08,0.00,6.2M,"3,466"
216,FRCL,22.44,22.60,22.79,21.85,22.73,0.29,1.29%,"6,288",860.9M,22.73,1.29%,29.89%,0.00,0.00,1.9M,"13,228"
217,FRSM,43.03,43.88,43.88,42.60,43.03,0.00,0.00%,"30,038",1.7B,43.03,0.00%,-36.44%,0.00,0.00,6.3M,"6,277"
218,FTMM,4.41,4.32,4.46,4.32,4.46,0.05,1.13%,"1,046",3.9B,4.46,1.13%,-15.05%,16.89,0.00,44.2M,"7,799"
219,FTSM,12.58,13.80,13.80,12.60,12.58,0.00,0.00%,213,266.2M,12.58,0.00%,81.01%,43.38,27.74,8.5M,"2,222"
220,FZCM,149.62,146.00,146.23,146.00,149.62,0.00,0.00%,15,4.5B,149.62,0.00%,3.90%,2.96,0.00,3.0M,215
221,GADT,260.28,279.00,286.25,271.00,274.15,13.87,5.33%,"5,391",7.7B,274.15,5.33%,59.34%,4.16,0.00,8.4M,"7,106"
222,GAL,469.56,471.89,488.40,466.00,485.71,16.15,3.44%,"2,437,399",27.7B,485.71,3.44%,436.81%,48.86,0.00,22.8M,"1,217,666"
223,GAL-APR,475.05,475.00,494.00,471.15,491.43,16.38,3.45%,"1,568,000",,,,,,,,
224,GAL-MAR,469.52,470.00,488.19,466.01,484.36,14.84,3.16%,"970,000",,,,,,,,
225,GAMON,27.77,29.60,30.30,24.99,26.52,-1.25,-4.50%,"20,204",749.6M,26.52,-4.50%,160.00%,17.92,0.00,3.6M,"10,867"
226,GATI,131.05,132.99,132.99,130.00,131.05,0.00,0.00%,115,14.2B,131.05,0.00%,-31.03%,0.00,0.00,10.9M,"4,443"
227,GATM,24.36,24.70,24.75,24.19,24.72,0.36,1.48%,"273,536",18.3B,24.72,1.48%,24.28%,4.13,0.00,185.0M,"325,042"
228,GATM-APR,24.64,24.72,24.95,24.48,24.92,0.28,1.14%,"882,500",,,,,,,,
229,GATM-MAR,24.56,24.40,24.82,24.25,24.60,0.04,0.16%,"890,000",,,,,,,,
230,GCIL,19.99,20.00,20.26,19.30,19.79,-0.20,-1.00%,"4,227,195",9.9B,19.79,-1.00%,91.76%,9.51,0.00,125.0M,"4,094,161"
231,GEMSPNL,20.13,19.99,20.90,19.99,20.84,0.71,3.53%,"5,001",,,,,,,,
